A8,Sample 9,Ofav,UNKNOWN,SYBR,None,,,,,,,26.15,25.889,0.37,,,,,,0,0.1,1,3,22,Amp,,0.986,N,N,N,N,75.287,N,,,
A9,Sample 9,D,UNKNOWN,SYBR,None,,,,2.171,0.847,5.562,25.595,25.419,0.249,,-0.469,0.446,0.315,-1.118,0,0.1,1,3,21,Amp,,0.992,N,N,N,N,78.552,N,,,
A10,Sample 9,Ofav,UNKNOWN,SYBR,None,,,,,,,25.627,25.889,0.37,,,,,,0,0.1,1,3,22,Amp,,0.98,N,N,N,N,75.287,N,,,
A11,+,D,UNKNOWN,SYBR,None,,,,0.582,0.342,0.991,26.104,26.2,0.137,,1.429,0.252,0.178,0.78,0,0.1,1,3,21,Amp,,0.99,N,N,N,N,78.404,N,,,
B1,Sample 2,D,UNKNOWN,SYBR,None,,,,0.809,0.472,1.386,24.429,24.545,0.163,,0.955,0.255,0.18,0.306,0,0.1,1,3,20,Amp,,0.994,N,N,N,N,78.256,N,,,
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,,,,,,,23.451,23.59,0.196,,,,,,0,0.1,1,3,19,Amp,,0.987,N,N,N,N,74.991,N,,,
B3,Sample 2,D,UNKNOWN,SYBR,None,,,,0.809,0.472,1.386,24.66,24.545,0.163,,0.955,0.255,0.18,0.306,0,0.1,1,3,19,Amp,,0.991,N,N,N,N,78.552,N,,,
B4,Sample 2,Ofav,UNKNOWN,SYBR,None,,,,,,,23.728,23.59,0.196,,,,,,0,0.1,1,3,19,Amp,,0.983,N,N,N,N,75.287,N,,,
B5,Sample 10,D,UNKNOWN,SYBR,None,,,,3.932,3.114,4.965,25.465,25.473,0.011,,-1.326,0.111,0.078,-1.975,0,0.1,1,3,20,Amp,,0.99,N,N,N,N,78.404,N,,,
B6,Sample 10,Ofav,UNKNOWN,SYBR,None,,,,,,,26.877,26.799,0.11,,,,,,0,0.1,1,3,22,Amp,,0.986,N,N,N,N,75.139,N,,,
B7,Sample 10,D,UNKNOWN,SYBR,None,,,,3.932,3.114,4.965,25.481,25.473,0.011,,-1.326,0.111,0.078,-1.975,0,0.1,1,3,20,Amp,,0.995,N,N,N,N,78.552,N,,,
B8,Sample 10,Ofav,UNKNOWN,SYBR,None,,,,,,,26.722,26.799,0.11,,,,,,0,0.1,1,3,22,Amp,,0.989,N,N,N,N,75.287,N,,,
B9,Sample 17,D,UNKNOWN,SYBR,None,,,,0.174,0.083,0.363,26.277,26.168,0.154,,3.173,0.349,0.247,2.524,0,0.1,1,3,22,Amp,,0.99,N,N,N,N,78.404,N,,,
B10,Sample 17,Ofav,UNKNOWN,SYBR,None,,,,,,,22.774,22.995,0.313,,,,,,0,0.1,1,3,17,Amp,,0.911,N,N,N,N,75.287,N,,,
B11,Sample 17,D,UNKNOWN,SYBR,None,,,,0.174,0.083,0.363,26.059,26.168,0.154,,3.173,0.349,0.247,2.524,0,0.1,1,3,22,Amp,,0.994,N,N,N,N,78.404,N,,,
B12,Sample 17,Ofav,UNKNOWN,SYBR,None,,,,,,,23.217,22.995,0.313,,,,,,0,0.1,1,3,19,Amp,,0.875,N,N,N,N,74.991,N,,,
C1,Sample 3,D,UNKNOWN,SYBR,None,,,,0.863,0.527,1.412,24.925,24.945,0.029,,0.862,0.234,0.165,0.213,0,0.1,1,3,21,Amp,,0.992,N,N,N,N,78.107,N,,,
C2,Sample 3,Ofav,UNKNOWN,SYBR,None,,,,,,,23.92,24.083,0.232,,,,,,0,0.1,1,3,20,Amp,,0.978,N,N,N,N,74.991,N,,,
C3,Sample 3,D,UNKNOWN,SYBR,None,,,,0.863,0.527,1.412,24.966,24.945,0.029,,0.862,0.234,0.165,0.213,0,0.1,1,3,21,Amp,,0.994,N,N,N,N,78.404,N,,,
C4,Sample 3,Ofav,UNKNOWN,SYBR,None,,,,,,,24.247,24.083,0.232,,,,,,0,0.1,1,3,20,Amp,,0.975,N,N,N,N,75.287,N,,,
C5,Sample 11,D,UNKNOWN,SYBR,None,,,,1.993,1.323,3.004,24.88,24.996,0.164,,-0.346,0.194,0.138,-0.995,0,0.1,1,3,20,Amp,,0.994,N,N,N,N,78.404,N,,,
C6,Sample 11,Ofav,UNKNOWN,SYBR,None,,,,,,,25.268,25.342,0.105,,,,,,0,0.1,1,3,21,Amp,,0.987,N,N,N,N,75.139,N,,,
C7,Sample 11,D,UNKNOWN,SYBR,None,,,,1.993,1.323,3.004,25.111,24.996,0.164,,-0.346,0.194,0.138,-0.995,0,0.1,1,3,20,Amp,,0.99,N,N,N,N,78.552,N,,,
C8,Sample 11,Ofav,UNKNOWN,SYBR,None,,,,,,,25.416,25.342,0.105,,,,,,0,0.1,1,3,22,Amp,,0.983,N,N,N,N,75.287,N,,,
C9,Sample 18,D,UNKNOWN,SYBR,None,,,,0.686,0.453,1.037,24.399,24.513,0.162,,1.193,0.196,0.139,0.544,0,0.1,1,3,20,Amp,,0.966,N,N,N,N,78.552,N,,,
C10,Sample 18,Ofav,UNKNOWN,SYBR,None,,,,,,,23.242,23.32,0.111,,,,,,0,0.1,1,3,18,Amp,,0.968,N,N,N,N,75.287,N,,,
C11,Sample 18,D,UNKNOWN,SYBR,None,,,,0.686,0.453,1.037,24.628,24.513,0.162,,1.193,0.196,0.139,0.544,0,0.1,1,3,20,Amp,,0.991,N,N,N,N,78.256,N,,,
C12,Sample 18,Ofav,UNKNOWN,SYBR,None,,,,,,,23.398,23.32,0.111,,,,,,0,0.1,1,3,19,Amp,,0.986,N,N,N,N,75.139,N,,,
D1,Sample 4,D,UNKNOWN,SYBR,None,,,,0.471,0.407,0.546,24.788,24.819,0.044,,1.735,0.07,0.049,1.086,0,0.1,1,3,21,Amp,,0.911,N,N,N,N,77.959,N,,,
D2,Sample 4,Ofav,UNKNOWN,SYBR,None,,,,,,,23.122,23.084,0.054,,,,,,0,0.1,1,3,19,Amp,,0.923,N,N,N,N,74.842,N,,,
D3,Sample 4,D,UNKNOWN,SYBR,None,,,,0.471,0.407,0.546,24.851,24.819,0.044,,1.735,0.07,0.049,1.086,0,0.1,1,3,21,Amp,,0.992,N,N,N,N,78.404,N,,,
D4,Sample 4,Ofav,UNKNOWN,SYBR,None,,,,,,,23.046,23.084,0.054,,,,,,0,0.1,1,3,19,Amp,,0.917,N,N,N,N,75.139,N,,,
D5,Sample 12,D,UNKNOWN,SYBR,None,,,,1.834,1.353,2.487,26.437,26.492,0.078,,-0.226,0.144,0.102,-0.875,0,0.1,1,3,22,Amp,,0.988,N,N,N,N,78.404,N,,,
D6,Sample 12,Ofav,UNKNOWN,SYBR,None,,,,,,,26.633,26.718,0.121,,,,,,0,0.1,1,3,21,Amp,,0.917,N,N,N,N,75.139,N,,,
D7,Sample 12,D,UNKNOWN,SYBR,None,,,,1.834,1.353,2.487,26.547,26.492,0.078,,-0.226,0.144,0.102,-0.875,0,0.1,1,3,21,Amp,,0.987,N,N,N,N,78.552,N,,,
D8,Sample 12,Ofav,UNKNOWN,SYBR,None,,,,,,,26.804,26.718,0.121,,,,,,0,0.1,1,3,22,Amp,,0.95,N,N,N,N,75.139,N,,,
D9,Sample 19,D,UNKNOWN,SYBR,None,,,,1.862,0.926,3.746,25.9,26.115,0.303,,-0.248,0.331,0.234,-0.897,0,0.1,1,3,21,Amp,,0.988,N,N,N,N,78.552,N,,,
D10,Sample 19,Ofav,UNKNOWN,SYBR,None,,,,,,,26.458,26.363,0.134,,,,,,0,0.1,1,3,21,Amp,,0.917,N,N,N,N,75.139,N,,,
D11,Sample 19,D,UNKNOWN,SYBR,None,,,,1.862,0.926,3.746,26.329,26.115,0.303,,-0.248,0.331,0.234,-0.897,0,0.1,1,3,22,Amp,,0.985,N,N,N,N,78.256,N,,,
D12,Sample 19,Ofav,UNKNOWN,SYBR,None,,,,,,,26.268,26.363,0.134,,,,,,0,0.1,1,3,21,Amp,,0.909,N,N,N,N,74.991,N,,,
E1,Sample 5,D,UNKNOWN,SYBR,None,,,,1.8,0.988,3.278,25.187,25.387,0.283,,-0.199,0.284,0.201,-0.848,0,0.1,1,3,21,Amp,,0.992,N,N,N,N,78.107,N,,,
E2,Sample 5,Ofav,UNKNOWN,SYBR,None,,,,,,,25.566,25.586,0.028,,,,,,0,0.1,1,3,22,Amp,,0.985,N,N,N,N,74.842,N,,,
E3,Sample 5,D,UNKNOWN,SYBR,None,,,,1.8,0.988,3.278,25.587,25.387,0.283,,-0.199,0.284,0.201,-0.848,0,0.1,1,3,21,Amp,,0.989,N,N,N,N,78.404,N,,,
E4,Sample 5,Ofav,UNKNOWN,SYBR,None,,,,,,,25.606,25.586,0.028,,,,,,0,0.1,1,3,20,Amp,,0.984,N,N,N,N,75.139,N,,,
E5,Sample 13,D,UNKNOWN,SYBR,None,,,,0.139,0.075,0.259,27.799,27.591,0.295,,3.492,0.295,0.208,2.843,0,0.1,1,3,23,Amp,,0.986,N,N,N,N,78.404,N,,,
E6,Sample 13,Ofav,UNKNOWN,SYBR,None,,,,,,,24.099,24.099,0,,,,,,0,0.1,1,3,19,Amp,,0.838,N,N,N,N,75.139,N,,,
E7,Sample 13,D,UNKNOWN,SYBR,None,,,,0.139,0.075,0.259,27.382,27.591,0.295,,3.492,0.295,0.208,2.843,0,0.1,1,3,23,Amp,,0.991,N,N,N,N,78.552,N,,,
E8,Sample 13,Ofav,UNKNOWN,SYBR,None,,,,,,,24.099,24.099,0,,,,,,0,0.1,1,3,20,Amp,,0.871,N,N,N,N,75.287,N,,,
E9,Sample 20,D,UNKNOWN,SYBR,None,,,,,,,Undetermined,34.722,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
E10,Sample 20,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
E11,Sample 20,D,UNKNOWN,SYBR,None,,,,,,,34.722,34.722,,,,,,,0,0.1,1,3,30,Amp,,0.984,N,N,N,N,70.687,N,,,
E12,Sample 20,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
F1,Sample 6,D,UNKNOWN,SYBR,None,,,,2.785,1.523,5.091,25.076,25.271,0.276,,-0.829,0.286,0.202,-1.478,0,0.1,1,3,21,Amp,,0.993,N,N,N,N,77.959,N,,,
F2,Sample 6,Ofav,UNKNOWN,SYBR,None,,,,,,,26.047,26.1,0.075,,,,,,0,0.1,1,3,21,Amp,,0.986,N,N,N,N,74.694,N,,,
F3,Sample 6,D,UNKNOWN,SYBR,None,,,,2.785,1.523,5.091,25.466,25.271,0.276,,-0.829,0.286,0.202,-1.478,0,0.1,1,3,21,Amp,,0.993,N,N,N,N,78.256,N,,,
F4,Sample 6,Ofav,UNKNOWN,SYBR,None,,,,,,,26.153,26.1,0.075,,,,,,0,0.1,1,3,22,Amp,,0.988,N,N,N,N,75.139,N,,,
F5,Sample 14,D,UNKNOWN,SYBR,None,,,,0.294,0.191,0.455,26.149,26.043,0.15,,2.413,0.206,0.146,1.764,0,0.1,1,3,21,Amp,,0.991,N,N,N,N,78.404,N,,,
F6,Sample 14,Ofav,UNKNOWN,SYBR,None,,,,,,,23.731,23.631,0.141,,,,,,0,0.1,1,3,18,Amp,,0.908,N,N,N,N,75.139,N,,,
F7,Sample 14,D,UNKNOWN,SYBR,None,,,,0.294,0.191,0.455,25.937,26.043,0.15,,2.413,0.206,0.146,1.764,0,0.1,1,3,21,Amp,,0.991,N,N,N,N,78.552,N,,,
F8,Sample 14,Ofav,UNKNOWN,SYBR,None,,,,,,,23.531,23.631,0.141,,,,,,0,0.1,1,3,19,Amp,,0.881,N,N,N,N,75.139,N,,,
F9,Sample 21,D,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
F10,Sample 21,Ofav,UNKNOWN,SYBR,None,,,,,,,38.107,38.107,,,,,,,0,0.1,1,3,34,Inconclusive,,0.919,N,Y,N,N,72.913,N,90.128,81.669,93.245
F11,Sample 21,D,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
F12,Sample 21,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,38.107,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
G1,Sample 7,D,UNKNOWN,SYBR,None,,,,2.799,1.966,3.984,26.836,26.811,0.035,,-0.836,0.167,0.118,-1.485,0,0.1,1,3,23,Amp,,0.979,N,N,N,N,77.81,N,,,
G2,Sample 7,Ofav,UNKNOWN,SYBR,None,,,,,,,27.763,27.647,0.164,,,,,,0,0.1,1,3,22,Amp,,0.96,N,N,N,N,74.694,N,,,
G3,Sample 7,D,UNKNOWN,SYBR,None,,,,2.799,1.966,3.984,26.786,26.811,0.035,,-0.836,0.167,0.118,-1.485,0,0.1,1,3,22,Amp,,0.987,N,N,N,N,78.256,N,,,
G4,Sample 7,Ofav,UNKNOWN,SYBR,None,,,,,,,27.531,27.647,0.164,,,,,,0,0.1,1,3,22,Amp,,0.959,N,N,N,N,74.991,N,,,
G5,Sample 15,D,UNKNOWN,SYBR,None,,,,1.105,0.375,3.258,27.998,27.797,0.285,,0.505,0.513,0.363,-0.144,0,0.1,1,3,23,Amp,,0.989,N,N,N,N,78.256,N,,,
G6,Sample 15,Ofav,UNKNOWN,SYBR,None,,,,,,,27.594,27.292,0.427,,,,,,0,0.1,1,3,22,Amp,,0.93,N,N,N,N,75.139,N,,,
G7,Sample 15,D,UNKNOWN,SYBR,None,,,,1.105,0.375,3.258,27.596,27.797,0.285,,0.505,0.513,0.363,-0.144,0,0.1,1,3,22,Amp,,0.988,N,N,N,N,78.404,N,,,
G8,Sample 15,Ofav,UNKNOWN,SYBR,None,,,,,,,26.99,27.292,0.427,,,,,,0,0.1,1,3,22,Amp,,0.961,N,N,N,N,75.139,N,,,
G9,Sample 22,D,UNKNOWN,SYBR,None,,,,,,,32.207,31.816,0.552,,,,,,0,0.1,1,3,27,Amp,,0.987,N,N,N,Y,78.256,N,,,
G10,Sample 22,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,Y,,,
G11,Sample 22,D,UNKNOWN,SYBR,None,,,,,,,31.426,31.816,0.552,,,,,,0,0.1,1,3,27,Amp,,0.91,N,N,N,Y,78.256,N,,,
G12,Sample 22,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,N,Y,N,60.001,N,,,
H2,+,Ofav,UNKNOWN,SYBR,None,,,,,,,24.621,24.771,0.212,,,,,,0,0.1,1,3,20,Amp,,0.894,N,N,N,N,74.545,N,,,
H3,Sample 8,D,UNKNOWN,SYBR,None,,,,1.569,0.85,2.896,25.049,25.128,0.111,,-0.001,0.291,0.205,-0.65,0,0.1,1,3,20,Amp,,0.987,N,N,N,N,78.107,N,,,
H4,Sample 8,Ofav,UNKNOWN,SYBR,None,,,,,,,24.939,25.129,0.269,,,,,,0,0.1,1,3,20,Amp,,0.979,N,N,N,N,74.991,N,,,
H5,Sample 8,D,UNKNOWN,SYBR,None,,,,1.569,0.85,2.896,25.206,25.128,0.111,,-0.001,0.291,0.205,-0.65,0,0.1,1,3,21,Amp,,0.993,N,N,N,N,78.107,N,,,
H6,Sample 8,Ofav,UNKNOWN,SYBR,None,,,,,,,25.319,25.129,0.269,,,,,,0,0.1,1,3,21,Amp,,0.982,N,N,N,N,74.991,N,,,
H7,Sample 16,D,UNKNOWN,SYBR,None,,,,0.338,0,14862.825,32.028,34.869,4.018,,2.215,5.07,3.585,1.566,0,0.1,1,3,27,Amp,,0.964,N,N,N,Y,78.404,N,,,
H8,Sample 16,Ofav,UNKNOWN,SYBR,None,,,,,,,30.467,32.654,3.092,,,,,,0,0.1,1,3,23,Amp,,0.916,N,N,N,Y,74.991,N,,,
H9,Sample 16,D,UNKNOWN,SYBR,None,,,,0.338,0,14862.825,37.71,34.869,4.018,,2.215,5.07,3.585,1.566,0,0.1,1,3,33,No Amp,,0.839,N,N,N,Y,78.107,N,,,
H10,Sample 16,Ofav,UNKNOWN,SYBR,None,,,,,,,34.841,32.654,3.092,,,,,,0,0.1,1,3,27,Amp,,0.827,N,Y,N,Y,74.842,N,82.114,88.496,84.786
H11,+,D,UNKNOWN,SYBR,None,,,,0.582,0.342,0.991,26.297,26.2,0.137,,1.429,0.252,0.178,0.78,0,0.1,1,3,21,Amp,,0.99,N,N,N,N,78.256,N,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
