A2,+,D,UNKNOWN,SYBR,None,,,,6.192,4.33,8.856,26.212,26.145,0.094,,1.497,0.17,0.12,-2.63,0,0.1,1,3,22,Amp,,0.989,N,N,N,78.249,N,N,,,
A3,Sample 1,Ofav,UNKNOWN,SYBR,None,,,,,,,22.622,22.793,0.242,,,,,,0,0.1,1,3,18,Amp,,0.965,N,N,N,75.453,N,N,,,
A4,Sample 1,D,UNKNOWN,SYBR,None,,,,1,0.592,1.689,26.881,26.921,0.056,,4.128,0.248,0.176,0,0,0.1,1,3,22,Amp,,0.99,N,N,N,78.543,N,N,,,
A5,Sample 1,Ofav,UNKNOWN,SYBR,None,,,,,,,22.964,22.793,0.242,,,,,,0,0.1,1,3,18,Amp,,0.945,N,N,N,75.453,N,N,,,
A6,Sample 1,D,UNKNOWN,SYBR,None,,,,1,0.592,1.689,26.961,26.921,0.056,,4.128,0.248,0.176,0,0,0.1,1,3,22,Amp,,0.994,N,N,N,78.691,N,N,,,
A7,Sample 9,Ofav,UNKNOWN,SYBR,None,,,,,,,25.421,25.286,0.191,,,,,,0,0.1,1,3,21,Amp,,0.93,N,N,N,75.453,N,N,,,
A8,Sample 9,D,UNKNOWN,SYBR,None,,,,15.516,10.345,23.271,25.444,25.458,0.02,,0.172,0.192,0.136,-3.956,0,0.1,1,3,21,Amp,,0.994,N,N,N,78.691,N,N,,,
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,,,,,,,25.151,25.286,0.191,,,,,,0,0.1,1,3,19,Amp,,0.988,N,N,N,75.453,N,N,,,
A10,Sample 9,D,UNKNOWN,SYBR,None,,,,15.516,10.345,23.271,25.473,25.458,0.02,,0.172,0.192,0.136,-3.956,0,0.1,1,3,22,Amp,,0.993,N,N,N,78.691,N,N,,,
A11,+,Ofav,UNKNOWN,SYBR,None,,,,,,,24.548,24.648,0.141,,,,,,0,0.1,1,3,19,Amp,,0.968,N,N,N,75.012,N,N,,,
A12,NTC,D,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,N,N,N,60.002,N,N,,,
B1,Sample 2,Ofav,UNKNOWN,SYBR,None,,,,,,,24.426,24.432,0.009,,,,,,0,0.1,1,3,18,Amp,,0.804,N,N,N,75.159,N,N,,,
B2,Sample 2,D,UNKNOWN,SYBR,None,,,,0.587,0.27,1.273,29.07,29.329,0.367,,4.897,0.367,0.26,0.769,0,0.1,1,3,23,Amp,,0.979,N,N,N,78.396,N,N,,,
B3,Sample 2,Ofav,UNKNOWN,SYBR,None,,,,,,,24.439,24.432,0.009,,,,,,0,0.1,1,3,19,Amp,,0.797,N,Y,N,75.306,N,N,,,
B4,Sample 2,D,UNKNOWN,SYBR,None,,,,0.587,0.27,1.273,29.589,29.329,0.367,,4.897,0.367,0.26,0.769,0,0.1,1,3,25,Amp,,0.987,N,N,N,78.543,N,N,,,
B5,Sample 10,Ofav,UNKNOWN,SYBR,None,,,,,,,27.681,27.475,0.291,,,,,,0,0.1,1,3,21,Amp,,0.933,N,N,N,75.306,N,N,,,
B6,Sample 10,D,UNKNOWN,SYBR,None,,,,21.169,11.463,39.095,27.196,27.199,0.004,,-0.276,0.291,0.206,-4.404,0,0.1,1,3,23,Amp,,0.982,N,N,N,78.543,N,N,,,
B7,Sample 10,Ofav,UNKNOWN,SYBR,None,,,,,,,27.269,27.475,0.291,,,,,,0,0.1,1,3,22,Amp,,0.876,N,N,N,75.306,N,N,,,
B8,Sample 10,D,UNKNOWN,SYBR,None,,,,21.169,11.463,39.095,27.202,27.199,0.004,,-0.276,0.291,0.206,-4.404,0,0.1,1,3,23,Amp,,0.989,N,N,N,78.543,N,N,,,
B9,Sample 17,Ofav,UNKNOWN,SYBR,None,,,,,,,24.797,24.949,0.215,,,,,,0,0.1,1,3,19,Amp,,0.92,N,N,N,75.306,N,N,,,
B10,Sample 17,D,UNKNOWN,SYBR,None,,,,3.832,2.145,6.846,27.017,27.139,0.172,,2.19,0.275,0.195,-1.938,0,0.1,1,3,21,Amp,,0.983,N,N,N,78.543,N,N,,,
B11,Sample 17,Ofav,UNKNOWN,SYBR,None,,,,,,,25.101,24.949,0.215,,,,,,0,0.1,1,3,21,Amp,,0.895,N,N,N,75.159,N,N,,,
B12,Sample 17,D,UNKNOWN,SYBR,None,,,,3.832,2.145,6.846,27.26,27.139,0.172,,2.19,0.275,0.195,-1.938,0,0.1,1,3,23,Amp,,0.977,N,N,N,78.396,N,N,,,
C1,Sample 3,Ofav,UNKNOWN,SYBR,None,,,,,,,24.123,24.02,0.146,,,,,,0,0.1,1,3,19,Amp,,0.662,N,Y,N,75.159,N,N,,,
C2,Sample 3,D,UNKNOWN,SYBR,None,,,,2.758,1.938,3.924,26.627,26.684,0.082,,2.664,0.167,0.118,-1.463,0,0.1,1,3,22,Amp,,0.988,N,N,N,78.396,N,N,,,
C3,Sample 3,Ofav,UNKNOWN,SYBR,None,,,,,,,23.917,24.02,0.146,,,,,,0,0.1,1,3,19,Amp,,0.854,N,N,N,75.012,N,N,,,
C4,Sample 3,D,UNKNOWN,SYBR,None,,,,2.758,1.938,3.924,26.742,26.684,0.082,,2.664,0.167,0.118,-1.463,0,0.1,1,3,22,Amp,,0.991,N,N,N,78.396,N,N,,,
C5,Sample 11,Ofav,UNKNOWN,SYBR,None,,,,,,,27.514,28.271,1.07,,,,,,0,0.1,1,3,21,Amp,,0.833,N,N,N,75.306,N,Y,,,
C6,Sample 11,D,UNKNOWN,SYBR,None,,,,13.366,1.242,143.797,28.907,28.658,0.352,,0.387,1.127,0.797,-3.741,0,0.1,1,3,24,Amp,,0.982,N,N,N,78.543,N,N,,,
C7,Sample 11,Ofav,UNKNOWN,SYBR,None,,,,,,,29.027,28.271,1.07,,,,,,0,0.1,1,3,23,Amp,,0.859,N,N,N,75.306,N,Y,,,
C8,Sample 11,D,UNKNOWN,SYBR,None,,,,13.366,1.242,143.797,28.409,28.658,0.352,,0.387,1.127,0.797,-3.741,0,0.1,1,3,24,Amp,,0.986,N,N,N,78.691,N,N,,,
C9,Sample 18,Ofav,UNKNOWN,SYBR,None,,,,,,,25.69,25.691,0,,,,,,0,0.1,1,3,20,Amp,,0.849,N,N,N,75.159,N,N,,,
C10,Sample 18,D,UNKNOWN,SYBR,None,,,,3.209,1.123,9.174,27.784,28.136,0.498,,2.446,0.498,0.352,-1.682,0,0.1,1,3,23,Amp,,0.985,N,N,N,78.543,N,N,,,
C11,Sample 18,Ofav,UNKNOWN,SYBR,None,,,,,,,25.691,25.691,0,,,,,,0,0.1,1,3,20,Amp,,0.78,N,Y,N,75.012,N,N,,,
C12,Sample 18,D,UNKNOWN,SYBR,None,,,,3.209,1.123,9.174,28.488,28.136,0.498,,2.446,0.498,0.352,-1.682,0,0.1,1,3,23,Amp,,0.911,N,N,N,78.396,N,N,,,
D1,Sample 4,Ofav,UNKNOWN,SYBR,None,,,,,,,23.398,23.387,0.014,,,,,,0,0.1,1,3,19,Amp,,0.955,N,N,N,74.865,N,N,,,
D2,Sample 4,D,UNKNOWN,SYBR,None,,,,4.689,3.151,6.976,25.153,25.286,0.188,,1.899,0.188,0.133,-2.229,0,0.1,1,3,20,Amp,,0.992,N,N,N,78.396,N,N,,,
D3,Sample 4,Ofav,UNKNOWN,SYBR,None,,,,,,,23.377,23.387,0.014,,,,,,0,0.1,1,3,19,Amp,,0.94,N,N,N,75.159,N,N,,,
D4,Sample 4,D,UNKNOWN,SYBR,None,,,,4.689,3.151,6.976,25.419,25.286,0.188,,1.899,0.188,0.133,-2.229,0,0.1,1,3,21,Amp,,0.992,N,N,N,78.396,N,N,,,
D5,Sample 12,Ofav,UNKNOWN,SYBR,None,,,,,,,24.889,24.856,0.047,,,,,,0,0.1,1,3,20,Amp,,0.986,N,N,N,75.159,N,N,,,
D6,Sample 12,D,UNKNOWN,SYBR,None,,,,6.456,4.019,10.372,26.448,26.293,0.22,,1.437,0.225,0.159,-2.691,0,0.1,1,3,22,Amp,,0.994,N,N,N,78.396,N,N,,,
D7,Sample 12,Ofav,UNKNOWN,SYBR,None,,,,,,,24.823,24.856,0.047,,,,,,0,0.1,1,3,20,Amp,,0.978,N,N,N,75.453,N,N,,,
D8,Sample 12,D,UNKNOWN,SYBR,None,,,,6.456,4.019,10.372,26.137,26.293,0.22,,1.437,0.225,0.159,-2.691,0,0.1,1,3,21,Amp,,0.993,N,N,N,78.691,N,N,,,
E1,Sample 5,Ofav,UNKNOWN,SYBR,None,,,,,,,22.995,23.025,0.041,,,,,,0,0.1,1,3,19,Amp,,0.869,N,N,N,74.865,N,N,,,
E2,Sample 5,D,UNKNOWN,SYBR,None,,,,3.372,1.778,6.396,25.611,25.399,0.301,,2.374,0.304,0.215,-1.754,0,0.1,1,3,21,Amp,,0.991,N,N,N,78.396,N,N,,,
E3,Sample 5,Ofav,UNKNOWN,SYBR,None,,,,,,,23.054,23.025,0.041,,,,,,0,0.1,1,3,19,Amp,,0.828,N,N,N,75.012,N,N,,,
E4,Sample 5,D,UNKNOWN,SYBR,None,,,,3.372,1.778,6.396,25.186,25.399,0.301,,2.374,0.304,0.215,-1.754,0,0.1,1,3,21,Amp,,0.988,N,N,N,78.691,N,N,,,
E5,Sample 13,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,35,No Amp,,0,N,Y,N,60.002,N,N,,,
E6,Sample 13,D,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,Y,Y,N,60.002,Y,N,,,
E7,Sample 13,Ofav,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,32,No Amp,,0,N,Y,Y,75.159,N,N,79.426,89.433,
E8,Sample 13,D,UNKNOWN,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,33,No Amp,,0,N,Y,Y,78.543,N,N,62.651,87.961,
E9,Sample 20,Ofav,UNKNOWN,SYBR,None,,,,,,,22.605,22.885,0.396,,,,,,0,0.1,1,3,18,Amp,,0.833,N,N,N,75.159,N,N,,,
E10,Sample 20,D,UNKNOWN,SYBR,None,,,,3.114,1.341,7.233,25.412,25.374,0.054,,2.489,0.4,0.283,-1.639,0,0.1,1,3,21,Amp,,0.992,N,N,N,78.396,N,N,,,
E11,Sample 20,Ofav,UNKNOWN,SYBR,None,,,,,,,23.165,22.885,0.396,,,,,,0,0.1,1,3,18,Amp,,0.877,N,N,N,75.012,N,N,,,
E12,Sample 20,D,UNKNOWN,SYBR,None,,,,3.114,1.341,7.233,25.336,25.374,0.054,,2.489,0.4,0.283,-1.639,0,0.1,1,3,20,Amp,,0.993,N,N,N,78.396,N,N,,,
F1,Sample 6,Ofav,UNKNOWN,SYBR,None,,,,,,,23.418,23.482,0.09,,,,,,0,0.1,1,3,19,Amp,,0.845,N,N,N,75.012,N,N,,,
F2,Sample 6,D,UNKNOWN,SYBR,None,,,,4.378,3.281,5.841,25.407,25.48,0.103,,1.998,0.137,0.097,-2.13,0,0.1,1,3,22,Amp,,0.987,N,N,N,78.396,N,N,,,
F3,Sample 6,Ofav,UNKNOWN,SYBR,None,,,,,,,23.546,23.482,0.09,,,,,,0,0.1,1,3,19,Amp,,0.829,N,N,N,75.159,N,N,,,
F4,Sample 6,D,UNKNOWN,SYBR,None,,,,4.378,3.281,5.841,25.552,25.48,0.103,,1.998,0.137,0.097,-2.13,0,0.1,1,3,21,Amp,,0.992,N,N,N,78.396,N,N,,,
F5,Sample 14,Ofav,UNKNOWN,SYBR,None,,,,,,,24.948,24.813,0.191,,,,,,0,0.1,1,3,20,Amp,,0.885,N,N,N,75.159,N,N,,,
F6,Sample 14,D,UNKNOWN,SYBR,None,,,,5.269,3.518,7.891,26.551,26.543,0.011,,1.73,0.192,0.135,-2.398,0,0.1,1,3,22,Amp,,0.986,N,N,N,78.396,N,N,,,
F7,Sample 14,Ofav,UNKNOWN,SYBR,None,,,,,,,24.678,24.813,0.191,,,,,,0,0.1,1,3,20,Amp,,0.896,N,N,N,75.306,N,N,,,
F8,Sample 14,D,UNKNOWN,SYBR,None,,,,5.269,3.518,7.891,26.535,26.543,0.011,,1.73,0.192,0.135,-2.398,0,0.1,1,3,22,Amp,,0.994,N,N,N,78.543,N,N,,,
F9,Sample 21,Ofav,UNKNOWN,SYBR,None,,,,,,,26.405,26.265,0.197,,,,,,0,0.1,1,3,22,Amp,,0.982,N,N,N,75.159,N,N,,,
F10,Sample 21,D,UNKNOWN,SYBR,None,,,,18.287,12.06,27.729,26.209,26.2,0.012,,-0.065,0.197,0.14,-4.193,0,0.1,1,3,22,Amp,,0.995,N,N,N,78.396,N,N,,,
F11,Sample 21,Ofav,UNKNOWN,SYBR,None,,,,,,,26.126,26.265,0.197,,,,,,0,0.1,1,3,21,Amp,,0.98,N,N,N,75.012,N,N,,,
F12,Sample 21,D,UNKNOWN,SYBR,None,,,,18.287,12.06,27.729,26.192,26.2,0.012,,-0.065,0.197,0.14,-4.193,0,0.1,1,3,21,Amp,,0.993,N,N,N,78.396,N,N,,,
G1,Sample 7,Ofav,UNKNOWN,SYBR,None,,,,,,,22.575,23.165,0.834,,,,,,0,0.1,1,3,17,Amp,,0.79,N,Y,N,75.012,N,Y,,,
G2,Sample 7,D,UNKNOWN,SYBR,None,,,,2.671,0.457,15.606,25.821,25.875,0.077,,2.711,0.837,0.592,-1.417,0,0.1,1,3,21,Amp,,0.993,N,N,N,78.249,N,N,,,
G3,Sample 7,Ofav,UNKNOWN,SYBR,None,,,,,,,23.754,23.165,0.834,,,,,,0,0.1,1,3,19,Amp,,0.902,N,N,N,75.012,N,Y,,,
G4,Sample 7,D,UNKNOWN,SYBR,None,,,,2.671,0.457,15.606,25.93,25.875,0.077,,2.711,0.837,0.592,-1.417,0,0.1,1,3,22,Amp,,0.991,N,N,N,78.396,N,N,,,
G5,Sample 15,Ofav,UNKNOWN,SYBR,None,,,,,,,24.101,24.023,0.112,,,,,,0,0.1,1,3,20,Amp,,0.837,N,N,N,75.159,N,N,,,
G6,Sample 15,D,UNKNOWN,SYBR,None,,,,3.201,2.523,4.061,26.484,26.472,0.017,,2.449,0.113,0.08,-1.678,0,0.1,1,3,21,Amp,,0.986,N,N,N,78.543,N,N,,,
G7,Sample 15,Ofav,UNKNOWN,SYBR,None,,,,,,,23.944,24.023,0.112,,,,,,0,0.1,1,3,19,Amp,,0.839,N,N,N,75.159,N,N,,,
G8,Sample 15,D,UNKNOWN,SYBR,None,,,,3.201,2.523,4.061,26.46,26.472,0.017,,2.449,0.113,0.08,-1.678,0,0.1,1,3,21,Amp,,0.991,N,N,N,78.543,N,N,,,
H1,NTC,Ofav,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,N,N,N,60.002,N,N,,,
H2,+,D,UNKNOWN,SYBR,None,,,,6.192,4.33,8.856,26.079,26.145,0.094,,1.497,0.17,0.12,-2.63,0,0.1,1,3,20,Amp,,0.986,N,N,N,78.249,N,N,,,
H3,Sample 8,Ofav,UNKNOWN,SYBR,None,,,,,,,24.641,24.92,0.395,,,,,,0,0.1,1,3,19,Amp,,0.859,N,N,N,75.159,N,N,,,
H4,Sample 8,D,UNKNOWN,SYBR,None,,,,8.651,3.751,19.951,25.96,25.935,0.035,,1.015,0.396,0.28,-3.113,0,0.1,1,3,22,Amp,,0.993,N,N,N,78.396,N,N,,,
H5,Sample 8,Ofav,UNKNOWN,SYBR,None,,,,,,,25.199,24.92,0.395,,,,,,0,0.1,1,3,21,Amp,,0.929,N,N,N,75.159,N,N,,,
H6,Sample 8,D,UNKNOWN,SYBR,None,,,,8.651,3.751,19.951,25.91,25.935,0.035,,1.015,0.396,0.28,-3.113,0,0.1,1,3,22,Amp,,0.99,N,N,N,78.396,N,N,,,
H11,+,Ofav,UNKNOWN,SYBR,None,,,,,,,24.748,24.648,0.141,,,,,,0,0.1,1,3,20,Amp,,0.94,N,N,N,75.159,N,N,,,
H12,NTC,D,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,0,0.1,1,3,39,No Amp,,0,N,N,N,68.684,N,N,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
